time,lat,lon,iod
2015-07-01,1.0,1.0,0.25112045
2015-08-01,1.0,1.0,0.9091267
2015-09-01,1.0,1.0,1.0347706
2015-10-01,1.0,1.0,0.54442495
2015-11-01,1.0,1.0,0.42049065
2015-12-01,1.0,1.0,-0.061026663
2016-01-01,1.0,1.0,-0.3755747
2016-02-01,1.0,1.0,-0.28993684
2016-03-01,1.0,1.0,-0.10040018
2016-04-01,1.0,1.0,-0.016478024
2016-05-01,1.0,1.0,-0.3901018
2016-06-01,1.0,1.0,-0.54358554
2016-07-01,1.0,1.0,-1.0746907
2016-08-01,1.0,1.0,-0.5752159
2016-09-01,1.0,1.0,-1.140521
2016-10-01,1.0,1.0,-0.4694388
2016-11-01,1.0,1.0,-0.18315008
2016-12-01,1.0,1.0,-0.037666313
2017-01-01,1.0,1.0,0.037877943
2017-02-01,1.0,1.0,0.30618414
2017-03-01,1.0,1.0,0.32339096
2017-04-01,1.0,1.0,0.7405762
2017-05-01,1.0,1.0,0.71183807
2017-06-01,1.0,1.0,0.51425207
2017-07-01,1.0,1.0,0.5692802
2017-08-01,1.0,1.0,0.84376025
2017-09-01,1.0,1.0,0.26702932
2017-10-01,1.0,1.0,0.22188331
2017-11-01,1.0,1.0,0.025975347
2017-12-01,1.0,1.0,-0.16408256
2018-01-01,1.0,1.0,-0.18279378
2018-02-01,1.0,1.0,0.27241486
2018-03-01,1.0,1.0,0.014783687
2018-04-01,1.0,1.0,0.018559698
2018-05-01,1.0,1.0,0.19600347
2018-06-01,1.0,1.0,0.07267446
2018-07-01,1.0,1.0,0.3301167
2018-08-01,1.0,1.0,0.33693084
2018-09-01,1.0,1.0,1.0714122
2018-10-01,1.0,1.0,0.41845083
2018-11-01,1.0,1.0,0.48648772
2018-12-01,1.0,1.0,0.26947638
2019-01-01,1.0,1.0,0.27224192
2019-02-01,1.0,1.0,-0.12824863
2019-03-01,1.0,1.0,-0.064660616
2019-04-01,1.0,1.0,0.085229926
2019-05-01,1.0,1.0,0.6483322
2019-06-01,1.0,1.0,0.762953
2019-07-01,1.0,1.0,0.8046122
2019-08-01,1.0,1.0,1.269675
2019-09-01,1.0,1.0,1.442106
2019-10-01,1.0,1.0,1.9364623
2019-11-01,1.0,1.0,1.6257073
2019-12-01,1.0,1.0,0.72219294
2020-01-01,1.0,1.0,0.31304976
2020-02-01,1.0,1.0,-0.14321929
2020-03-01,1.0,1.0,-0.17805935
2020-04-01,1.0,1.0,-0.19696997
2020-05-01,1.0,1.0,0.4352092
2020-06-01,1.0,1.0,0.62423635
2020-07-01,1.0,1.0,0.30856708
2020-08-01,1.0,1.0,-0.3977589
2020-09-01,1.0,1.0,-0.3909135
2020-10-01,1.0,1.0,0.046614055
2020-11-01,1.0,1.0,-0.15901147
2020-12-01,1.0,1.0,0.06223573
2021-01-01,1.0,1.0,0.08725338
2021-02-01,1.0,1.0,0.3940916
2021-03-01,1.0,1.0,0.11308161
2021-04-01,1.0,1.0,0.17545114
2021-05-01,1.0,1.0,-0.4190038
2021-06-01,1.0,1.0,-0.28976306
2021-07-01,1.0,1.0,-0.5044983
2021-08-01,1.0,1.0,-0.25882924
2021-09-01,1.0,1.0,-0.3008639
2021-10-01,1.0,1.0,-0.54805106
2021-11-01,1.0,1.0,-0.14334999
2021-12-01,1.0,1.0,-0.07942285
2022-01-01,1.0,1.0,-0.31883797
2022-02-01,1.0,1.0,-0.26954213
2022-03-01,1.0,1.0,-0.044673543
2022-04-01,1.0,1.0,-0.39688993
2022-05-01,1.0,1.0,-0.51233363
2022-06-01,1.0,1.0,-0.35225034
2022-07-01,1.0,1.0,-0.87296915
2022-08-01,1.0,1.0,-0.909182
2022-09-01,1.0,1.0,-0.7953988
2022-10-01,1.0,1.0,-0.7121047
2022-11-01,1.0,1.0,-0.16905114
2022-12-01,1.0,1.0,0.35252124
2023-01-01,1.0,1.0,0.25417882
2023-02-01,1.0,1.0,0.4257063
2023-03-01,1.0,1.0,0.44840056
2023-04-01,1.0,1.0,0.24982269
2023-05-01,1.0,1.0,0.08872436
2023-06-01,1.0,1.0,0.12909319
2023-07-01,1.0,1.0,0.31509113
